R2-USB2,154.29,46.58,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,129.23,45.74,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,66.93,9.82,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.77,15.82,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,30.69,50.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,44.61,35.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,73.53,25.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,9.45,99.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,47.37,35.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTIN,24.28,107.28,180.00,,MYBUTTON
R_BOOT,51.68,106.66,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.64,63.82,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.74,106.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,81.61,24.74,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.96,106.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,159.16,12.53,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,66.36,7.98,0.00,,SJ
TP1,14.53,67.90,0.00,TPTP20R,TP20R
TP10,28.06,25.90,0.00,TPTP20R,TP20R
TP11,14.61,19.90,0.00,TPTP20R,TP20R
TP12,18.71,21.90,0.00,TPTP20R,TP20R
TP13,23.36,23.90,0.00,TPTP20R,TP20R
TP14,150.01,58.90,0.00,TPTP20R,TP20R
TP15,36.66,25.90,0.00,TPTP20R,TP20R
TP16,44.31,78.90,0.00,TPTP20R,TP20R
TP17,106.96,30.90,0.00,TPTP20R,TP20R
TP2,18.68,67.89,0.00,TPTP20R,TP20R
TP3,150.37,61.90,0.00,TPTP20R,TP20R
TP4,26.29,85.90,0.00,TPTP20R,TP20R
TP5,26.49,91.98,0.00,TPTP20R,TP20R
TP6,77.41,94.98,0.00,TPTP20R,TP20R
TP7,87.33,94.98,0.00,TPTP20R,TP20R
TP8,82.25,94.98,0.00,TPTP20R,TP20R
TP9,10.17,16.98,0.00,TPTP20R,TP20R
U1,36.47,56.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.60,55.04,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.95,57.10,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,140.64,51.53,0.00,MAX17048G+T10,SON50P200X200X80-9N
